Date,Client,Mission Reference,Prix Client,Prix Driver,Adresse de départ,Adresse d'arrivée,Retard driver,Driver login,mission Status,Distance total,Durée de la mission,Rating Client,Month
2023-04-17,Company A,EUz6kKq,106.0,45.0,1 rue de l'ile de France 94460 Valenton,"2 Allée des Aulnes, Trappes, France",-187.0,test_3@test.com,FINISHED,86.0,57.0,,2023-04
2023-04-17,Company B,GHle2KU,30.0,23.0,"120 Avenue Saint-Exupéry, Antony, France","74, route de la Reine 92100 Boulogne",-122.0,test_4@test.com,FINISHED,36.0,80.0,,2023-04
2023-04-17,Company C,668k6ee,22.5,15.0,"13 Rue du Commerce, Paris, France","93 Avenue Emile Zola, 75015 Paris, France",-93.0,test_1@test.com,FINISHED,2.0,21.0,,2023-04
2023-04-17,Company C,Z8lxGlD,22.5,20.0,"39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France","22 Rue Thuret, L'Hay-les-Roses, France",-154.0,test_2@test.com,FINISHED,30.0,58.0,4.0,2023-04
2023-04-17,Company D,IMkgFPA,551.0,477.04,"15 Rue d'Ebersheim, 67600 Sélestat, France","3 Imp. des Vignes, 49360 Toutlemonde, France",-335.0,test_5@test.com,FINISHED,162.4048780487805,573.0,2.0,2023-04
2023-04-17,Company D,ju68vsi,199.0,140.0,"Rue de Gautray, Saint-Cyr-en-Val, France","Rue du Bois Barbier, 60880 Le Meux, France",-426.0,test_4@test.com,FINISHED,436.0,252.0,,2023-04
2023-04-17,Company E,3cwHLuH,22.5,20.0,"117 Rue Charles Michels, Saint-Denis, France","80 Rue de Longchamp, 75016 Paris, France",-96.0,test_2@test.com,FINISHED,24.0,62.0,4.0,2023-04
2023-04-17,Company E,LTxE09P,22.5,0.0,"61 Rue Henri Regnault, Courbevoie, France","116 Avenue Henri Barbusse, 92700 Colombes, France",-128.0,test_1@test.com,FINISHED,8.0,32.0,,2023-04
2023-04-17,Company E,LYItNMu,22.5,0.0,"116 Avenue Henri Barbusse, 92700 Colombes, France","61 Rue Henri Regnault, Courbevoie, France",100000.0,test_5@test.com,FINISHED,8.0,26.0,2.0,2023-04
2023-04-17,Company E,NbrOFnn,35.0,0.0,"29 Rue Pierre Lamandé, Houilles, France","10 Av. de Saint-Germain, 78560 Le Port-Marly, France",193.0,test_1@test.com,FINISHED,26.0,46.0,,2023-04
2023-04-17,Company F,GAc1JRq,44.0,30.0,"30 Rue de Paris, 93130 Noisy-le-Sec, France","64 Rue des Vanesses, Villepinte, France",-104.0,test_2@test.com,FINISHED,28.0,17.0,4.0,2023-04
2023-04-17,Company F,KSCA2Bl,25.0,20.0,"77 Rue Vergniaud, Paris, France","11 Boulevard du Colonel Fabien, 94200 Ivry-sur-Seine, France",-147.0,test_5@test.com,FINISHED,14.0,40.0,2.0,2023-04
2023-04-17,Company F,PqNM5Ur,25.0,20.0,"11 Boulevard du Colonel Fabien, 94200 Ivry-sur-Seine, France","77 Rue Vergniaud, Paris, France",-154.0,test_5@test.com,FINISHED,14.0,34.0,2.0,2023-04
2023-04-17,Company F,SMpLYqI,44.0,30.0,"64 Rue des Vanesses, Villepinte, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-137.0,test_2@test.com,FINISHED,28.0,42.0,5.0,2023-04
2023-04-17,Company F,oIG89je,25.0,20.0,"8 Rue de Rémusat, Paris, France","11 Boulevard du Colonel Fabien, 94200 Ivry-sur-Seine, France",-150.0,test_1@test.com,FINISHED,32.0,49.0,,2023-04
2023-04-17,Company G,B0C7zzJ,465.0,521.0,"Rue du Bois Barbier, 60880 Le Meux, France","120 Av. François Mitterrand, 13170 Les Pennes-Mirabeau, France",650.0,test_4@test.com,FINISHED,162.4048780487805,123.13603818615752,,2023-04
2023-04-17,Company G,Lp8xpu6,465.0,378.0,"Rue Santos Dumont, 44860 Saint-Aignan-Grandlieu, France","Rue des Garennes, Reyrieux, France",-200.0,test_2@test.com,FINISHED,162.4048780487805,479.0,5.0,2023-04
2023-04-17,Company G,SJf6HPK,685.0,390.0,"Rue du Bois Barbier, 60880 Le Meux, France","9 Rue Maurice Trintignant, Le Mans, France",0.0,test_5@test.com,FINISHED,162.4048780487805,123.13603818615752,2.0,2023-04
2023-04-17,Company G,WGAkGgl,465.0,598.0,"Rue Santos Dumont, 44860 Saint-Aignan-Grandlieu, France","17 Rue Fernand Bessy, 83120 Sainte-Maxime, France",457.0,test_3@test.com,FINISHED,162.4048780487805,123.13603818615752,,2023-04
2023-04-17,Company H,7qwwH0r,393.0,250.0,"8 Cours Louis Lumière, Vincennes, France","62 Cours Albert Thomas, Lyon, France",-333.0,test_1@test.com,FINISHED,972.0,290.0,,2023-04
2023-04-17,Company H,Bb1lY4U,175.0,120.0,"23 Rue Delarivière-Lefoullon, Puteaux, France","Avenue des Montoires, 45500 Gien, France",-231.0,test_5@test.com,FINISHED,320.0,134.0,2.0,2023-04
2023-04-17,Company H,ZPGE0Qp,326.0,250.0,"100 Chemin des Pailles, Lorgues, France","39 Rue Docteur Albéric Pont, Lyon, France",-221.0,test_4@test.com,FINISHED,772.0,14.0,,2023-04
2023-04-17,Company H,dtOtz9c,175.0,143.42,"65 Avenue Jean Mermoz, Auxerre, France","14 Rue Montalivet, Paris, France",-28.0,test_3@test.com,FINISHED,380.0,141.0,,2023-04
2023-04-17,Company H,FZeiDTY,175.0,115.0,"14 Rte de Dhuizon, 41250 Neuvy, France","252 Rue de Rosny, Montreuil, France",-211.0,test_2@test.com,FINISHED,362.0,213.0,5.0,2023-04
2023-04-17,Company I,boOqhy0,352.0,219.0,"20 Rue Louise de Vilmorin, 91630 Avrainville, France","4 Rue des Douelles, Bouaye, France",-131.0,test_2@test.com,FINISHED,810.0,279.0,5.0,2023-04
2023-04-17,Company I,zJZCvsn,334.0,295.02,"14 Rte de Dhuizon, 41250 Neuvy, France","61 Rue Jean Briaud, Mérignac, France",-109.0,test_1@test.com,FINISHED,872.0,317.0,,2023-04
2023-04-17,Company I,jZc7Qg3,20.0,15.0,"170 Rue de l'Étang, 69760 Limonest, France","44 Avenue de Lanessan, Champagne-au-Mont-d'Or, France",-247.0,test_3@test.com,FINISHED,6.0,21.0,,2023-04
2023-04-17,Company J,zaVkptp,20.0,15.0,"44 Avenue de Lanessan, Champagne-au-Mont-d'Or, France","170 Rue de l'Étang, 69760 Limonest, France",-151.0,test_3@test.com,FINISHED,6.0,22.0,,2023-04
2023-04-17,Company J,Cik6qQQ,429.0,156.0,"7 Chemin de Bretagne, Issy-les-Moulineaux, France","2 Rue de Lalande, Bordeaux, France",-191.0,test_1@test.com,FINISHED,162.4048780487805,520.0,,2023-04
2023-04-17,Company K,v2Zigne,438.0,335.0,"27 Rue Principale, Bistroff, France","4 Rue Gaston Monmousseau, Échirolles, France",-767.0,test_1@test.com,FINISHED,162.4048780487805,927.0,,2023-04
2023-04-17,Company K,MtxZ01m,115.77,106.12,"8 Rue Jean Perrin, Luisant, France","1598 Rte de Quarante Sous, 78630 Orgeval, France",-60.0,test_2@test.com,CANCELLED,190.0,127.0,5.0,2023-04
2023-04-18,Company L - M,Gv7DwJc,84.0,47.0,139 Avenue Felix Faure 69003  Lyon,"7 Rue des Frères Salvez, 01500 Ambérieu-en-Bugey, France",-145.0,test_4@test.com,FINISHED,112.0,74.0,,2023-04
2023-04-18,Company A,LbD25Ep,175.0,120.0,"Route de Picardie, 60190 Avrigny, France","7 rue eugene bourgoin,  reims, France",23.0,test_4@test.com,FINISHED,234.0,121.0,,2023-04
2023-04-18,Company A,56SoJea,22.5,22.0,"39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France","24 Rue Jacques Dulud, Neuilly-sur-Seine, France",-215.0,test_3@test.com,FINISHED,68.0,53.0,,2023-04
2023-04-18,Company C,D3Etpn0,22.5,20.0,"92 Boulevard de Courcelles, Paris, France","93 Avenue Emile Zola, 75015 Paris, France",-57.0,test_1@test.com,FINISHED,10.0,40.0,,2023-04
2023-04-18,Company C,Dr36fua,33.3,28.0,"74, route de la Reine 92100 Boulogne","120 Avenue Saint-Exupéry, Antony, France",-231.0,test_1@test.com,FINISHED,36.0,50.0,,2023-04
2023-04-18,Company B,FgIfjtL,30.0,25.0,"3 Boulevard Gallieni, Issy-les-Moulineaux, France","74, route de la Reine 92100 Boulogne",-158.0,test_2@test.com,FINISHED,6.0,21.0,5.0,2023-04
